year,country_of_birth,visa_subclass,visa_category,settlement_state,processing_days
2024,China,485 Temp Graduate,Temporary,VIC,280
2015,Bangladesh,482 Temp Skill,Temporary,ACT,473
2016,Nepal,500 Student,Student,VIC,47
2016,Nepal,500 Student,Student,NSW,451
2022,Pakistan,200 Refugee,Humanitarian,VIC,499
2016,Vietnam,485 Temp Graduate,Temporary,VIC,617
2019,India,485 Temp Graduate,Temporary,SA,354
2020,China,500 Student,Student,VIC,74
2020,India,190 Skilled Nom,Skilled,NSW,691
2017,UK,820 Partner Temp,Family,WA,581
2023,Pakistan,485 Temp Graduate,Temporary,QLD,346
2019,India,500 Student,Student,WA,372
2016,India,801 Partner Perm,Family,QLD,710
2020,India,202 Global Special,Humanitarian,VIC,372
2016,Germany,485 Temp Graduate,Temporary,VIC,420
2021,India,485 Temp Graduate,Temporary,NSW,79
2016,China,500 Student,Student,NSW,617
2023,NZ,820 Partner Temp,Family,VIC,516
2015,Germany,400 Temp Work,Temporary,VIC,363
2018,India,400 Temp Work,Temporary,NSW,693
2017,Sri Lanka,143 Parent,Family,NSW,554
2021,China,200 Refugee,Humanitarian,NSW,347
2018,India,820 Partner Temp,Family,SA,237
2019,India,189 Skilled Indep,Skilled,QLD,301
2019,China,190 Skilled Nom,Skilled,NSW,522
2021,India,500 Student,Student,QLD,601
2017,Malaysia,500 Student,Student,QLD,450
2018,NZ,482 Temp Skill,Temporary,VIC,139
2017,South Korea,500 Student,Student,VIC,228
2016,India,190 Skilled Nom,Skilled,NSW,240
2021,Malaysia,801 Partner Perm,Family,WA,190
2024,Nepal,485 Temp Graduate,Temporary,QLD,717
2023,India,485 Temp Graduate,Temporary,VIC,127
2024,Pakistan,500 Student,Student,WA,512
2016,Philippines,485 Temp Graduate,Temporary,QLD,457
2022,Nepal,500 Student,Student,TAS,572
2015,India,189 Skilled Indep,Skilled,VIC,475
2023,NZ,190 Skilled Nom,Skilled,VIC,90
2023,Malaysia,482 Temp Skill,Temporary,NSW,541
2019,South Korea,143 Parent,Family,QLD,699
2024,India,500 Student,Student,VIC,682
2019,India,482 Temp Skill,Temporary,ACT,506
2020,UK,485 Temp Graduate,Temporary,NSW,556
2018,South Korea,485 Temp Graduate,Temporary,VIC,382
2023,Philippines,482 Temp Skill,Temporary,ACT,703
2021,NZ,190 Skilled Nom,Skilled,QLD,258
2020,Nepal,482 Temp Skill,Temporary,NSW,148
2019,Pakistan,189 Skilled Indep,Skilled,NSW,87
2022,Philippines,189 Skilled Indep,Skilled,VIC,290
2015,Philippines,202 Global Special,Humanitarian,VIC,214
2021,Germany,485 Temp Graduate,Temporary,WA,516
2015,India,190 Skilled Nom,Skilled,NSW,107
2017,India,190 Skilled Nom,Skilled,VIC,84
2015,Nepal,820 Partner Temp,Family,VIC,148
2020,India,482 Temp Skill,Temporary,SA,375
2024,India,482 Temp Skill,Temporary,VIC,123
2017,Vietnam,820 Partner Temp,Family,VIC,357
2016,Philippines,485 Temp Graduate,Temporary,VIC,356
2020,South Korea,820 Partner Temp,Family,TAS,163
2015,Vietnam,200 Refugee,Humanitarian,NSW,134
2018,Nepal,500 Student,Student,VIC,293
2019,Nepal,482 Temp Skill,Temporary,NSW,248
2015,China,189 Skilled Indep,Skilled,WA,47
2023,Vietnam,202 Global Special,Humanitarian,NSW,345
2018,India,801 Partner Perm,Family,SA,83
2021,Sri Lanka,482 Temp Skill,Temporary,QLD,339
2016,China,190 Skilled Nom,Skilled,QLD,80
2024,India,485 Temp Graduate,Temporary,NSW,53
2016,Philippines,482 Temp Skill,Temporary,VIC,213
2019,Philippines,400 Temp Work,Temporary,VIC,140
2015,Pakistan,500 Student,Student,NSW,111
2016,India,143 Parent,Family,WA,352
2016,Nepal,500 Student,Student,NSW,714
2018,Philippines,500 Student,Student,VIC,558
2015,Philippines,485 Temp Graduate,Temporary,QLD,252
2019,China,500 Student,Student,QLD,551
2021,NZ,500 Student,Student,NSW,289
2017,China,190 Skilled Nom,Skilled,NSW,360
2022,India,482 Temp Skill,Temporary,VIC,488
2015,Nepal,189 Skilled Indep,Skilled,QLD,46
2021,India,491 Skilled Regional,Skilled,NSW,468
2023,Indonesia,500 Student,Student,QLD,56
2021,China,820 Partner Temp,Family,NSW,562
2015,India,500 Student,Student,SA,41
2015,UK,482 Temp Skill,Temporary,VIC,518
2015,India,500 Student,Student,SA,74
2016,Pakistan,500 Student,Student,WA,170
2020,Bangladesh,143 Parent,Family,QLD,579
2024,South Korea,482 Temp Skill,Temporary,NSW,569
2018,India,500 Student,Student,NSW,112
2022,India,189 Skilled Indep,Skilled,VIC,548
2017,China,485 Temp Graduate,Temporary,VIC,126
2024,Philippines,482 Temp Skill,Temporary,QLD,35
2018,Sri Lanka,482 Temp Skill,Temporary,WA,58
2017,Vietnam,482 Temp Skill,Temporary,NSW,563
2017,India,801 Partner Perm,Family,NSW,335
2016,China,482 Temp Skill,Temporary,NSW,354
2015,Pakistan,500 Student,Student,QLD,462
2024,Sri Lanka,485 Temp Graduate,Temporary,VIC,533
2022,UK,485 Temp Graduate,Temporary,QLD,347
2016,China,500 Student,Student,VIC,96
2021,Nepal,400 Temp Work,Temporary,VIC,279
2019,Philippines,500 Student,Student,WA,44
2015,India,200 Refugee,Humanitarian,NSW,515
2024,India,400 Temp Work,Temporary,WA,34
2017,Pakistan,482 Temp Skill,Temporary,WA,515
2021,Malaysia,143 Parent,Family,SA,37
2018,China,485 Temp Graduate,Temporary,NSW,521
2019,China,801 Partner Perm,Family,QLD,64
2024,India,482 Temp Skill,Temporary,VIC,543
2022,Malaysia,485 Temp Graduate,Temporary,QLD,343
2017,India,491 Skilled Regional,Skilled,TAS,512
2022,India,200 Refugee,Humanitarian,QLD,232
2019,Indonesia,485 Temp Graduate,Temporary,QLD,668
2017,China,485 Temp Graduate,Temporary,NSW,688
2020,Philippines,485 Temp Graduate,Temporary,QLD,218
2017,China,190 Skilled Nom,Skilled,VIC,280
2023,India,801 Partner Perm,Family,NSW,442
2017,China,189 Skilled Indep,Skilled,NSW,514
2016,Vietnam,500 Student,Student,QLD,360
2023,Philippines,400 Temp Work,Temporary,VIC,114
2016,India,500 Student,Student,NSW,221
2022,Sri Lanka,189 Skilled Indep,Skilled,VIC,572
2023,India,485 Temp Graduate,Temporary,NSW,253
2022,China,801 Partner Perm,Family,SA,160
2024,Philippines,500 Student,Student,QLD,397
2017,Philippines,485 Temp Graduate,Temporary,QLD,393
2018,Germany,189 Skilled Indep,Skilled,NSW,326
2021,Indonesia,485 Temp Graduate,Temporary,ACT,72
2016,UK,485 Temp Graduate,Temporary,ACT,584
2024,China,400 Temp Work,Temporary,VIC,675
2021,Sri Lanka,485 Temp Graduate,Temporary,QLD,628
2022,Nepal,500 Student,Student,QLD,520
2021,Germany,801 Partner Perm,Family,NSW,571
2020,India,143 Parent,Family,QLD,185
2017,Sri Lanka,500 Student,Student,NSW,426
2016,UK,482 Temp Skill,Temporary,VIC,198
2017,India,482 Temp Skill,Temporary,QLD,497
2015,India,491 Skilled Regional,Skilled,QLD,331
2021,India,500 Student,Student,VIC,310
2016,Indonesia,143 Parent,Family,VIC,39
2024,Nepal,485 Temp Graduate,Temporary,WA,628
2016,China,500 Student,Student,QLD,425
2018,UK,485 Temp Graduate,Temporary,QLD,531
2023,South Korea,500 Student,Student,ACT,340
2021,India,143 Parent,Family,VIC,169
2018,Pakistan,189 Skilled Indep,Skilled,VIC,597
2022,Pakistan,820 Partner Temp,Family,VIC,433
2018,Philippines,189 Skilled Indep,Skilled,VIC,726
2016,India,143 Parent,Family,VIC,206
2024,Bangladesh,482 Temp Skill,Temporary,QLD,332
2023,India,189 Skilled Indep,Skilled,VIC,69
2022,Bangladesh,200 Refugee,Humanitarian,NSW,280
2017,Nepal,485 Temp Graduate,Temporary,NSW,342
2020,UK,500 Student,Student,WA,579
2015,Philippines,485 Temp Graduate,Temporary,SA,448
2015,Philippines,485 Temp Graduate,Temporary,VIC,50
2024,India,500 Student,Student,WA,268
2018,China,500 Student,Student,QLD,295
2017,China,400 Temp Work,Temporary,WA,511
2022,China,189 Skilled Indep,Skilled,ACT,295
2020,India,482 Temp Skill,Temporary,VIC,430
2021,Indonesia,500 Student,Student,QLD,504
2016,India,801 Partner Perm,Family,NSW,606
2019,India,485 Temp Graduate,Temporary,VIC,383
2018,China,820 Partner Temp,Family,VIC,492
2017,Philippines,482 Temp Skill,Temporary,VIC,211
2016,Philippines,500 Student,Student,QLD,519
2023,Sri Lanka,820 Partner Temp,Family,QLD,196
2022,Philippines,482 Temp Skill,Temporary,QLD,208
2021,Pakistan,485 Temp Graduate,Temporary,QLD,342
2017,UK,143 Parent,Family,VIC,200
2021,Bangladesh,482 Temp Skill,Temporary,NSW,136
2018,China,189 Skilled Indep,Skilled,WA,674
2015,India,482 Temp Skill,Temporary,QLD,591
2021,India,482 Temp Skill,Temporary,QLD,295
2021,Malaysia,820 Partner Temp,Family,WA,178
2024,Nepal,820 Partner Temp,Family,NSW,580
2023,India,400 Temp Work,Temporary,VIC,54
2015,South Korea,143 Parent,Family,QLD,56
2018,India,820 Partner Temp,Family,NSW,444
2015,China,801 Partner Perm,Family,WA,653
2015,India,485 Temp Graduate,Temporary,QLD,585
2019,Nepal,801 Partner Perm,Family,NSW,97
2017,Sri Lanka,801 Partner Perm,Family,VIC,47
2015,Sri Lanka,190 Skilled Nom,Skilled,VIC,399
2021,UK,190 Skilled Nom,Skilled,VIC,442
2024,Vietnam,482 Temp Skill,Temporary,VIC,358
2023,China,485 Temp Graduate,Temporary,QLD,131
2015,India,189 Skilled Indep,Skilled,NSW,494
2017,Pakistan,485 Temp Graduate,Temporary,SA,187
2015,India,820 Partner Temp,Family,NSW,703
2019,Germany,200 Refugee,Humanitarian,VIC,334
2024,Bangladesh,485 Temp Graduate,Temporary,NSW,353
2017,Philippines,202 Global Special,Humanitarian,WA,201
2022,Pakistan,482 Temp Skill,Temporary,WA,498
2019,Vietnam,500 Student,Student,QLD,717
2020,Pakistan,500 Student,Student,VIC,107
2023,Bangladesh,485 Temp Graduate,Temporary,QLD,507
2018,Germany,482 Temp Skill,Temporary,VIC,159
2018,Pakistan,485 Temp Graduate,Temporary,VIC,545
2022,Philippines,143 Parent,Family,VIC,115
2016,Philippines,500 Student,Student,WA,418
2016,India,485 Temp Graduate,Temporary,VIC,657
2018,Bangladesh,482 Temp Skill,Temporary,VIC,627
2018,UK,485 Temp Graduate,Temporary,TAS,408
2018,India,491 Skilled Regional,Skilled,QLD,423
2017,India,485 Temp Graduate,Temporary,QLD,84
2023,China,190 Skilled Nom,Skilled,ACT,147
2018,Malaysia,485 Temp Graduate,Temporary,NSW,329
2018,Germany,482 Temp Skill,Temporary,QLD,719
2022,Germany,485 Temp Graduate,Temporary,SA,709
2023,Philippines,485 Temp Graduate,Temporary,NSW,78
2022,Philippines,500 Student,Student,QLD,439
2024,South Korea,485 Temp Graduate,Temporary,VIC,131
2016,Philippines,482 Temp Skill,Temporary,NSW,61
2019,Sri Lanka,801 Partner Perm,Family,SA,489
2023,India,190 Skilled Nom,Skilled,SA,492
2024,Pakistan,500 Student,Student,QLD,629
2017,USA,482 Temp Skill,Temporary,NSW,163
2022,Germany,482 Temp Skill,Temporary,WA,110
2017,NZ,485 Temp Graduate,Temporary,QLD,653
2018,India,485 Temp Graduate,Temporary,VIC,659
2022,India,801 Partner Perm,Family,WA,623
2022,China,485 Temp Graduate,Temporary,NSW,522
2015,Nepal,500 Student,Student,VIC,686
2017,Bangladesh,500 Student,Student,NSW,444
2024,India,189 Skilled Indep,Skilled,NSW,406
2021,China,801 Partner Perm,Family,VIC,363
2021,UK,491 Skilled Regional,Skilled,NSW,190
2017,India,485 Temp Graduate,Temporary,WA,221
2019,India,485 Temp Graduate,Temporary,VIC,683
2017,Bangladesh,202 Global Special,Humanitarian,VIC,596
2016,India,485 Temp Graduate,Temporary,SA,278
2017,Nepal,820 Partner Temp,Family,NSW,262
2020,NZ,485 Temp Graduate,Temporary,QLD,295
2020,Philippines,500 Student,Student,VIC,526
2020,Vietnam,482 Temp Skill,Temporary,VIC,333
2018,Vietnam,485 Temp Graduate,Temporary,VIC,547
2019,Sri Lanka,485 Temp Graduate,Temporary,VIC,396
2023,Indonesia,820 Partner Temp,Family,SA,608
2023,Pakistan,820 Partner Temp,Family,VIC,80
2023,UK,482 Temp Skill,Temporary,VIC,434
2017,China,482 Temp Skill,Temporary,SA,341
2021,Pakistan,485 Temp Graduate,Temporary,QLD,129
2022,Malaysia,202 Global Special,Humanitarian,SA,263
2018,Bangladesh,189 Skilled Indep,Skilled,VIC,289
2019,China,143 Parent,Family,SA,197
2023,UK,202 Global Special,Humanitarian,VIC,524
2022,China,200 Refugee,Humanitarian,WA,397
2022,Pakistan,400 Temp Work,Temporary,VIC,174
2015,Nepal,485 Temp Graduate,Temporary,VIC,211
2015,Germany,143 Parent,Family,NSW,68
2022,India,820 Partner Temp,Family,NSW,382
2021,South Korea,202 Global Special,Humanitarian,VIC,114
2016,Nepal,491 Skilled Regional,Skilled,NSW,403
2015,China,801 Partner Perm,Family,NSW,383
2017,Pakistan,491 Skilled Regional,Skilled,WA,670
2021,Malaysia,190 Skilled Nom,Skilled,QLD,423
2018,South Korea,500 Student,Student,VIC,377
2021,India,801 Partner Perm,Family,NSW,249
2016,USA,189 Skilled Indep,Skilled,SA,526
2021,Philippines,482 Temp Skill,Temporary,VIC,471
2016,India,500 Student,Student,QLD,606
2023,UK,202 Global Special,Humanitarian,WA,639
2017,Pakistan,801 Partner Perm,Family,QLD,84
2015,USA,500 Student,Student,SA,587
2023,China,482 Temp Skill,Temporary,NSW,320
2018,India,485 Temp Graduate,Temporary,QLD,561
2018,India,189 Skilled Indep,Skilled,NSW,258
2016,Philippines,820 Partner Temp,Family,VIC,459
2017,Nepal,500 Student,Student,NSW,697
2018,UK,482 Temp Skill,Temporary,QLD,700
2017,Pakistan,482 Temp Skill,Temporary,VIC,279
2020,India,820 Partner Temp,Family,QLD,499
2017,India,801 Partner Perm,Family,SA,489
2019,Philippines,485 Temp Graduate,Temporary,SA,669
2015,Philippines,202 Global Special,Humanitarian,VIC,414
2020,India,143 Parent,Family,NSW,650
2021,India,189 Skilled Indep,Skilled,VIC,578
2023,UK,801 Partner Perm,Family,QLD,109
2022,UK,143 Parent,Family,QLD,114
2015,NZ,500 Student,Student,QLD,386
2018,China,801 Partner Perm,Family,VIC,166
2022,China,801 Partner Perm,Family,QLD,563
2022,India,482 Temp Skill,Temporary,VIC,428
2015,USA,189 Skilled Indep,Skilled,VIC,199
2015,UK,500 Student,Student,VIC,322
2019,UK,500 Student,Student,VIC,119
2019,Philippines,500 Student,Student,VIC,427
2016,India,482 Temp Skill,Temporary,VIC,711
2017,USA,491 Skilled Regional,Skilled,VIC,477
2018,Nepal,485 Temp Graduate,Temporary,QLD,158
2022,Germany,491 Skilled Regional,Skilled,VIC,230
2017,China,485 Temp Graduate,Temporary,SA,350
2023,South Korea,190 Skilled Nom,Skilled,NSW,379
2023,Philippines,482 Temp Skill,Temporary,QLD,335
2017,Nepal,485 Temp Graduate,Temporary,ACT,291
2023,Philippines,400 Temp Work,Temporary,VIC,282
2015,China,190 Skilled Nom,Skilled,QLD,47
2018,China,500 Student,Student,VIC,648
2016,Germany,801 Partner Perm,Family,VIC,48
2018,Bangladesh,801 Partner Perm,Family,NSW,333
2017,Germany,485 Temp Graduate,Temporary,NSW,703
2022,China,500 Student,Student,VIC,361
2023,India,400 Temp Work,Temporary,NSW,483
2018,Vietnam,485 Temp Graduate,Temporary,VIC,463
2018,India,143 Parent,Family,WA,169
2024,Philippines,485 Temp Graduate,Temporary,NSW,47
2016,South Korea,143 Parent,Family,VIC,368
2019,Pakistan,190 Skilled Nom,Skilled,VIC,434
2021,NZ,200 Refugee,Humanitarian,VIC,700
2021,China,500 Student,Student,VIC,624
2016,China,485 Temp Graduate,Temporary,WA,183
2018,Bangladesh,801 Partner Perm,Family,NSW,716
2016,Nepal,189 Skilled Indep,Skilled,QLD,566
2022,China,485 Temp Graduate,Temporary,VIC,96
2022,Philippines,482 Temp Skill,Temporary,WA,79
2023,Sri Lanka,500 Student,Student,WA,344
2019,UK,500 Student,Student,TAS,152
2015,India,801 Partner Perm,Family,VIC,34
2023,Germany,190 Skilled Nom,Skilled,VIC,657
2016,Bangladesh,189 Skilled Indep,Skilled,VIC,286
2017,Philippines,400 Temp Work,Temporary,NSW,644
2015,India,820 Partner Temp,Family,NSW,144
2018,Malaysia,189 Skilled Indep,Skilled,VIC,123
2022,Philippines,485 Temp Graduate,Temporary,NSW,390
2024,Pakistan,189 Skilled Indep,Skilled,SA,690
2020,India,190 Skilled Nom,Skilled,NSW,416
2015,India,485 Temp Graduate,Temporary,VIC,598
2023,China,189 Skilled Indep,Skilled,NSW,43
2016,Sri Lanka,485 Temp Graduate,Temporary,VIC,721
2017,South Korea,482 Temp Skill,Temporary,VIC,266
2017,Philippines,801 Partner Perm,Family,SA,533
2023,Sri Lanka,500 Student,Student,VIC,491
2018,UK,485 Temp Graduate,Temporary,NSW,645
2023,UK,482 Temp Skill,Temporary,WA,619
2020,India,482 Temp Skill,Temporary,QLD,188
2019,NZ,400 Temp Work,Temporary,VIC,548
2022,China,202 Global Special,Humanitarian,VIC,256
2017,NZ,189 Skilled Indep,Skilled,NSW,540
2017,Sri Lanka,202 Global Special,Humanitarian,NSW,179
2023,Malaysia,190 Skilled Nom,Skilled,NSW,400
2021,India,400 Temp Work,Temporary,WA,326
2018,China,491 Skilled Regional,Skilled,SA,296
2021,Indonesia,801 Partner Perm,Family,NSW,716
2022,India,189 Skilled Indep,Skilled,NSW,519
2022,UK,482 Temp Skill,Temporary,NSW,31
2020,India,485 Temp Graduate,Temporary,NSW,273
2021,India,482 Temp Skill,Temporary,NSW,409
2017,China,485 Temp Graduate,Temporary,QLD,725
2019,Philippines,485 Temp Graduate,Temporary,NSW,198
2023,Malaysia,482 Temp Skill,Temporary,WA,232
2023,Philippines,400 Temp Work,Temporary,QLD,200
2015,China,500 Student,Student,WA,86
2017,Nepal,482 Temp Skill,Temporary,NSW,674
2017,India,200 Refugee,Humanitarian,NSW,278
2018,India,485 Temp Graduate,Temporary,NSW,377
2018,USA,500 Student,Student,QLD,195
2017,Vietnam,143 Parent,Family,QLD,278
2019,Germany,500 Student,Student,SA,344
2017,India,500 Student,Student,NSW,136
2022,USA,491 Skilled Regional,Skilled,VIC,626
2015,NZ,189 Skilled Indep,Skilled,NSW,277
2024,Pakistan,190 Skilled Nom,Skilled,VIC,601
2016,Germany,500 Student,Student,VIC,289
2023,Germany,485 Temp Graduate,Temporary,NSW,546
2022,Malaysia,500 Student,Student,WA,418
2023,India,500 Student,Student,SA,257
2019,Nepal,189 Skilled Indep,Skilled,QLD,437
2018,Indonesia,202 Global Special,Humanitarian,WA,54
2021,China,189 Skilled Indep,Skilled,QLD,338
2017,Vietnam,200 Refugee,Humanitarian,VIC,435
2019,Pakistan,801 Partner Perm,Family,VIC,270
2020,Pakistan,189 Skilled Indep,Skilled,QLD,626
2016,Pakistan,189 Skilled Indep,Skilled,QLD,132
2023,India,801 Partner Perm,Family,VIC,125
2019,India,500 Student,Student,TAS,149
2020,China,500 Student,Student,NSW,693
2022,NZ,202 Global Special,Humanitarian,NSW,122
2023,India,500 Student,Student,QLD,364
2016,India,820 Partner Temp,Family,VIC,81
2017,China,820 Partner Temp,Family,VIC,73
2016,UK,500 Student,Student,NSW,371
2024,China,801 Partner Perm,Family,QLD,36
2019,Sri Lanka,491 Skilled Regional,Skilled,NSW,600
2022,South Korea,485 Temp Graduate,Temporary,NSW,317
2016,Philippines,485 Temp Graduate,Temporary,NSW,613
2024,South Korea,491 Skilled Regional,Skilled,VIC,295
2016,China,485 Temp Graduate,Temporary,QLD,130
2022,Philippines,500 Student,Student,WA,570
2015,Indonesia,482 Temp Skill,Temporary,QLD,139
2023,Sri Lanka,143 Parent,Family,NSW,299
2018,South Korea,482 Temp Skill,Temporary,VIC,180
2021,Germany,485 Temp Graduate,Temporary,VIC,61
2021,Philippines,189 Skilled Indep,Skilled,VIC,511
2017,India,190 Skilled Nom,Skilled,NSW,137
2019,UK,500 Student,Student,SA,373
2015,Philippines,482 Temp Skill,Temporary,WA,146
2022,Malaysia,820 Partner Temp,Family,QLD,433
2019,Germany,482 Temp Skill,Temporary,QLD,88
2017,Nepal,491 Skilled Regional,Skilled,WA,450
2018,Germany,485 Temp Graduate,Temporary,QLD,115
2018,Philippines,820 Partner Temp,Family,QLD,605
2016,NZ,190 Skilled Nom,Skilled,QLD,488
2018,NZ,500 Student,Student,NSW,649
2022,South Korea,491 Skilled Regional,Skilled,VIC,525
2020,Nepal,485 Temp Graduate,Temporary,VIC,311
2024,Germany,485 Temp Graduate,Temporary,NSW,473
2022,UK,143 Parent,Family,VIC,89
2023,India,190 Skilled Nom,Skilled,WA,374
2016,India,202 Global Special,Humanitarian,WA,439
2020,Philippines,491 Skilled Regional,Skilled,QLD,108
2017,Philippines,801 Partner Perm,Family,VIC,210
2017,Sri Lanka,200 Refugee,Humanitarian,VIC,43
2018,NZ,485 Temp Graduate,Temporary,VIC,444
2021,China,820 Partner Temp,Family,NSW,293
2018,Pakistan,482 Temp Skill,Temporary,VIC,79
2018,China,485 Temp Graduate,Temporary,QLD,170
2018,India,200 Refugee,Humanitarian,VIC,476
2024,Nepal,500 Student,Student,VIC,479
2019,Pakistan,189 Skilled Indep,Skilled,NSW,307
2023,Pakistan,500 Student,Student,NSW,230
2024,India,820 Partner Temp,Family,VIC,709
2021,Indonesia,500 Student,Student,QLD,206
2024,Vietnam,400 Temp Work,Temporary,NSW,404
2024,USA,482 Temp Skill,Temporary,NSW,704
2023,Germany,485 Temp Graduate,Temporary,QLD,39
2022,India,485 Temp Graduate,Temporary,QLD,165
2017,Pakistan,500 Student,Student,WA,206
2016,India,485 Temp Graduate,Temporary,NSW,589
2015,Pakistan,189 Skilled Indep,Skilled,NSW,634
2017,USA,400 Temp Work,Temporary,NSW,729
2020,Pakistan,143 Parent,Family,WA,726
2019,India,189 Skilled Indep,Skilled,QLD,619
2022,UK,482 Temp Skill,Temporary,VIC,313
2018,Indonesia,482 Temp Skill,Temporary,ACT,365
2021,Bangladesh,190 Skilled Nom,Skilled,SA,456
2018,Indonesia,482 Temp Skill,Temporary,WA,553
2017,India,400 Temp Work,Temporary,QLD,597
2022,Malaysia,485 Temp Graduate,Temporary,NSW,104
2017,Philippines,485 Temp Graduate,Temporary,NSW,664
2020,India,143 Parent,Family,QLD,277
2017,Philippines,485 Temp Graduate,Temporary,VIC,626
2021,India,485 Temp Graduate,Temporary,ACT,610
2016,China,482 Temp Skill,Temporary,QLD,389
2015,Nepal,143 Parent,Family,WA,414
2021,India,190 Skilled Nom,Skilled,QLD,598
2019,India,500 Student,Student,NSW,142
2021,India,500 Student,Student,NSW,282
2015,Sri Lanka,400 Temp Work,Temporary,SA,494
2022,South Korea,491 Skilled Regional,Skilled,QLD,592
2015,Nepal,190 Skilled Nom,Skilled,WA,82
2024,Malaysia,189 Skilled Indep,Skilled,VIC,555
2024,India,491 Skilled Regional,Skilled,SA,406
2023,USA,500 Student,Student,NSW,604
2018,South Korea,801 Partner Perm,Family,VIC,389
2021,India,500 Student,Student,NSW,300
2024,China,500 Student,Student,NSW,484
2022,China,200 Refugee,Humanitarian,NSW,477
2021,China,500 Student,Student,NSW,702
2015,NZ,400 Temp Work,Temporary,VIC,270
2015,India,500 Student,Student,VIC,126
2021,China,190 Skilled Nom,Skilled,WA,38
2019,India,200 Refugee,Humanitarian,NSW,683
2019,Pakistan,143 Parent,Family,WA,365
2017,Nepal,485 Temp Graduate,Temporary,VIC,170
2018,NZ,482 Temp Skill,Temporary,QLD,214
2023,South Korea,500 Student,Student,QLD,460
2018,USA,190 Skilled Nom,Skilled,VIC,164
2024,Philippines,485 Temp Graduate,Temporary,NSW,469
2016,China,400 Temp Work,Temporary,NSW,198
2020,UK,491 Skilled Regional,Skilled,QLD,466
2021,India,801 Partner Perm,Family,NSW,608
2022,India,491 Skilled Regional,Skilled,VIC,670
2023,NZ,202 Global Special,Humanitarian,NSW,480
2022,Sri Lanka,500 Student,Student,NSW,124
2023,India,200 Refugee,Humanitarian,QLD,268
2015,India,482 Temp Skill,Temporary,TAS,584
2015,Indonesia,482 Temp Skill,Temporary,NSW,212
2016,Indonesia,189 Skilled Indep,Skilled,NSW,408
2017,Malaysia,482 Temp Skill,Temporary,WA,360
2022,Vietnam,485 Temp Graduate,Temporary,NSW,435
2020,China,485 Temp Graduate,Temporary,QLD,568
2022,UK,190 Skilled Nom,Skilled,NSW,236
2021,India,801 Partner Perm,Family,QLD,600
2020,Nepal,820 Partner Temp,Family,QLD,710
2016,China,500 Student,Student,QLD,509
2023,UK,190 Skilled Nom,Skilled,QLD,479
2022,India,500 Student,Student,VIC,70
2022,India,143 Parent,Family,VIC,658
2024,India,200 Refugee,Humanitarian,QLD,274
2018,India,482 Temp Skill,Temporary,VIC,168
2019,UK,400 Temp Work,Temporary,SA,331
2019,Germany,500 Student,Student,WA,208
2018,Bangladesh,482 Temp Skill,Temporary,VIC,266
2020,Philippines,485 Temp Graduate,Temporary,NSW,512
2021,Bangladesh,143 Parent,Family,NSW,453
2021,Philippines,190 Skilled Nom,Skilled,VIC,377
2016,Philippines,485 Temp Graduate,Temporary,QLD,533
2022,India,500 Student,Student,QLD,574
2015,Nepal,500 Student,Student,QLD,159
2017,UK,500 Student,Student,WA,700
2018,China,482 Temp Skill,Temporary,VIC,317
2023,India,400 Temp Work,Temporary,NSW,728
2017,India,485 Temp Graduate,Temporary,NSW,180
2023,Germany,202 Global Special,Humanitarian,WA,626
2021,China,820 Partner Temp,Family,QLD,30
2022,Malaysia,485 Temp Graduate,Temporary,NSW,712
2017,Philippines,820 Partner Temp,Family,VIC,363
2024,China,491 Skilled Regional,Skilled,WA,123
2021,Bangladesh,500 Student,Student,NSW,81
2015,India,500 Student,Student,NSW,372
2023,Nepal,485 Temp Graduate,Temporary,VIC,555
2019,Philippines,500 Student,Student,VIC,189
2023,Germany,500 Student,Student,NSW,339
2022,Pakistan,200 Refugee,Humanitarian,SA,201
2024,Sri Lanka,143 Parent,Family,SA,547
2023,India,190 Skilled Nom,Skilled,VIC,322
2021,China,820 Partner Temp,Family,VIC,96
2022,Philippines,190 Skilled Nom,Skilled,WA,692
2015,India,482 Temp Skill,Temporary,VIC,492
2022,Vietnam,491 Skilled Regional,Skilled,QLD,112
2022,Indonesia,500 Student,Student,VIC,160
2024,South Korea,500 Student,Student,QLD,574
2022,Sri Lanka,189 Skilled Indep,Skilled,NSW,337
2021,China,485 Temp Graduate,Temporary,VIC,63
2022,China,500 Student,Student,WA,715
2021,India,190 Skilled Nom,Skilled,VIC,180
2019,India,500 Student,Student,VIC,429
2024,India,200 Refugee,Humanitarian,NSW,533
2019,Nepal,500 Student,Student,NSW,231
2016,China,500 Student,Student,SA,81
2015,Nepal,485 Temp Graduate,Temporary,VIC,651
2018,India,485 Temp Graduate,Temporary,NSW,246
2019,South Korea,485 Temp Graduate,Temporary,SA,322
2020,India,202 Global Special,Humanitarian,TAS,557
2015,Sri Lanka,485 Temp Graduate,Temporary,QLD,36
2020,India,820 Partner Temp,Family,SA,118
2024,China,400 Temp Work,Temporary,WA,139
2022,India,482 Temp Skill,Temporary,TAS,266
2022,China,500 Student,Student,NSW,719
2020,Bangladesh,500 Student,Student,NSW,568
2023,UK,482 Temp Skill,Temporary,QLD,168
2016,China,801 Partner Perm,Family,WA,626
2022,Malaysia,485 Temp Graduate,Temporary,TAS,593
2022,India,500 Student,Student,VIC,192
2018,China,200 Refugee,Humanitarian,VIC,199
2019,China,500 Student,Student,VIC,107
